AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
28,0.2364444444,610,'2 2BR','1980-1989',27000
39,0.18521739129999998,700,'2 2BR','1990-1999',46000
36,0.3178348624,1271,'4 4BR+','2000-2009',20000
41,0.1338,1105,'3 3BR','1980-1989',140000
-9,-9.0,1314,'4 4BR+','2000-2009',-9
53,0.18341374600000002,1314,'4 4BR+','1980-1989',108600
-9,-9.0,592,'2 2BR','1980-1989',-9
24,0.3747368421,592,'2 2BR','1980-1989',10000
30,0.4349538462,1485,'2 2BR','1990-1999',65000
30,0.1657894737,910,'3 3BR','2000-2009',38000
-9,-9.0,1010,'3 3BR','2000-2009',-9
39,0.2502439024,1135,'4 4BR+','2000-2009',0
54,0.2620645161,1135,'4 4BR+','2000-2009',82000
35,0.2934,605,'1 1BR','1980-1989',20000
53,0.16877745519999998,992,'4 4BR+','1980-1989',125000
-9,-9.0,783,'3 3BR','2000-2009',-9
34,0.2578651685,974,'2 2BR','1980-1989',35000
58,0.2028,1251,'4 4BR+','1980-1989',100000
36,0.5196144578,1462,'3 3BR','1980-1989',83000
32,0.2140571429,956,'3 3BR','2000-2009',105000
28,0.1110967742,794,'2 2BR','2000-2009',155000
-9,-9.0,671,'1 1BR','2000-2009',-9
59,0.10302411869999999,1157,'3 3BR','1980-1989',200000
68,0.0669767442,1283,'4 4BR+','2000-2009',15000
51,0.3046153846,1283,'4 4BR+','1980-1989',65000
-9,-9.0,506,'1 1BR','1980-1989',-9
33,0.08598237130000001,1042,'3 3BR','2000-2009',23000
44,1.1650285714,1094,'3 3BR','1980-1989',0
49,0.3131359517,1174,'4 4BR+','2000-2009',124000
43,0.6946669617,1355,'4 4BR+','2000-2009',50600
17,1.0484210526,1355,'4 4BR+','2000-2009',48000
57,0.295409396,1018,'2 2BR','1960-1979',0
26,0.34107692310000004,606,'2 2BR','1990-1999',26000
69,0.0165045198,1042,'3 3BR','2000-2009',0
67,0.08439897699999999,1042,'3 3BR','2000-2009',0
30,0.7947846591,740,'2 2BR','1980-1989',14419
57,0.2272173913,1097,'4 4BR+','1980-1989',0
70,0.1312849162,882,'3 3BR','2000-2009',0
44,0.46060606060000003,910,'4 4BR+','1980-1989',72000
31,0.45425,1054,'2 2BR','1980-1989',48000
47,0.0717,970,'3 3BR','1980-1989',77717
59,0.177,676,'1 1BR','1980-1989',40000
-9,-9.0,757,'3 3BR','2000-2009',-9
