,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
397,40,0.1391723651,1232,'4 4BR+','2000-2009',384943
398,75,0.5793975903999999,1037,'3 3BR','1990-1999',0
399,47,0.2317180617,753,'2 2BR','1990-1999',68000
400,78,0.336,552,'1 1BR','1980-1989',0
401,60,0.0402791512,1151,'4 4BR+','1980-1989',341943
402,43,0.2835485807,935,'2 2BR','1980-1989',45000
403,-9,-9.0,757,'1 1BR','1980-1989',-9
404,20,0.1665066435,804,'2 2BR','1980-1989',64600
405,43,0.7029398859,2101,'4 4BR+','2000-2009',0
406,27,0.2417658968,1424,'4 4BR+','2000-2009',91900
407,50,0.0288166496,804,'2 2BR','2000-2009',45000
408,31,0.2569336055,804,'2 2BR','1980-1989',2273
409,31,0.149750416,1210,'2 2BR','1980-1989',44500
410,48,0.35034544240000004,1210,'2 2BR','1980-1989',18000
411,-9,-9.0,574,'1 1BR','1980-1989',-9
412,19,0.3693120423,666,'2 2BR','1980-1989',25000
413,71,0.6335483871,1390,'2 2BR','2000-2009',0
414,58,0.751412203,1410,'2 2BR','1980-1989',25000
415,57,0.2076028321,964,'2 2BR','1980-1989',47000
416,50,0.10404783050000001,2367,'4 4BR+','2000-2009',104000
417,79,0.8435818601,1583,'2 2BR','2000-2009',0
418,55,0.5410449129,2675,'4 4BR+','2000-2009',103000
419,31,0.1435697709,664,'2 2BR','2000-2009',75000
420,56,0.2852312114,883,'3 3BR','2000-2009',71000
421,64,17.82278481,1105,'3 3BR','2000-2009',0
422,25,0.19467772519999998,1278,'4 4BR+','2000-2009',96000
423,26,0.31028651949999997,701,'1 1BR','2000-2009',42500
424,33,-1.0,1183,'3 3BR','2000-2009',0
425,36,0.3071388102,1002,'3 3BR','2000-2009',0
426,59,0.1160431017,1721,'3 3BR','2000-2009',105000
427,30,0.1695673523,743,'2 2BR','1980-1989',23000
428,48,0.2955974843,1191,'0 Studio','2000-2009',0
429,34,0.2240702241,1474,'2 2BR','2000-2009',26000
430,50,0.69875,1577,'3 3BR','1980-1989',0
431,37,0.6674361564,1760,'4 4BR+','2000-2009',27750
432,58,0.12308105859999999,1116,'2 2BR','1980-1989',208000
433,48,0.3182195955,1760,'4 4BR+','2000-2009',45000
434,72,0.8775935971,1948,'4 4BR+','2000-2009',4800
435,33,0.513104482,1827,'4 4BR+','2000-2009',48000
436,81,1.1974858384,1827,'4 4BR+','2000-2009',0
437,45,0.45020038590000006,1827,'4 4BR+','2000-2009',27000
438,48,0.1497530275,784,'1 1BR','1980-1989',65000
439,52,0.3224516129,1430,'3 3BR','1990-1999',2000
440,39,0.2096670097,1876,'3 3BR','1980-1989',170000
441,-9,-9.0,868,'2 2BR','1990-1999',-9
442,23,0.8358333333,870,'2 2BR','1980-1989',0
443,67,0.5751937984000001,693,'1 1BR','1980-1989',0
444,71,0.0700875657,1102,'3 3BR','2000-2009',7200
445,65,0.1643532736,1262,'4 4BR+','1980-1989',90000
446,47,0.093792051,1987,'4 4BR+','2000-2009',194000
447,30,0.1907119814,1987,'4 4BR+','2000-2009',80000
448,51,0.2327100855,683,'2 2BR','2000-2009',0
449,80,1.7872340426,907,'3 3BR','1980-1989',0
450,63,0.26544,907,'3 3BR','1990-1999',0
451,74,0.12357801460000001,1059,'4 4BR+','1980-1989',26000
452,51,0.1757142857,828,'2 2BR','1980-1989',70000
453,54,0.4724066088,1056,'3 3BR','2000-2009',0
454,71,0.3310588235,1257,'4 4BR+','2000-2009',0
455,51,0.7262776944,1257,'4 4BR+','2000-2009',34000
456,41,0.154000025,1058,'3 3BR','2000-2009',160000
457,35,0.471370225,1058,'3 3BR','2000-2009',25000
458,76,0.3782458598,1597,'3 3BR','1980-1989',22000
459,77,0.3566666667,1183,'2 2BR','1980-1989',0
